pair,df,p,idk
CELRUSDTM-SOLUSDTM,-1.5092502353984039,0.528930517735367,4
SLPUSDTM-ONEUSDTM,-2.2101066805842686,0.20259778544955903,6
SLPUSDTM-ZECUSDTM,-2.0660107912397963,0.25839956355468674,6
SLPUSDTM-ETHUSDTM,-1.5380877472714523,0.5145928484181147,7
SLPUSDTM-MANAUSDTM,-1.2879745180121458,0.634655871317426,6
SLPUSDTM-1INCHUSDTM,-1.2486213566536404,0.6523384023337184,11
SLPUSDTM-ONTUSDTM,-1.6459057676388624,0.459176553218573,6
SLPUSDTM-XBTUSDTM,-0.9617690647451614,0.7669516147538389,6
SLPUSDTM-SRMUSDTM,-2.1861042378152526,0.2113274167384931,3
SLPUSDTM-VETUSDTM,-2.7442319289484263,0.06669193885377907,6
SLPUSDTM-EGLDUSDTM,-2.3245004755847556,0.16418778284183666,7
SLPUSDTM-MKRUSDTM,-0.7861006559367287,0.8231708389519976,6
SLPUSDTM-BCHUSDTM,-1.6076988654348396,0.47972505730756076,6
SLPUSDTM-YGGUSDTM,-1.7854185542664005,0.3877246281055374,8
SLPUSDTM-SNXUSDTM,-1.1822329881916256,0.6811915581855625,10
SLPUSDTM-LRCUSDTM,-2.0845689537596197,0.25076460079867124,10
SLPUSDTM-AGLDUSDTM,-1.454463321987285,0.5559055216742771,6
SLPUSDTM-FLOWUSDTM,-1.6933320782553023,0.43455122401445645,6
SLPUSDTM-EOSUSDTM,-2.0359312330453023,0.27104403322473825,6
SLPUSDTM-RVNUSDTM,-2.394904958988396,0.1431796133294363,11
SLPUSDTM-CHZUSDTM,-1.274107172227247,0.6409335092878601,6
SLPUSDTM-QTUMUSDTM,-2.058178028409425,0.2616603629383597,7
SLPUSDTM-ICPUSDTM,-2.5407366510027076,0.10587457724881666,2
SLPUSDTM-ALICEUSDTM,-2.2258965038766783,0.1969811157887365,6
SLPUSDTM-LINAUSDTM,-2.121674889573005,0.23588880274711743,19
SLPUSDTM-DOTUSDM,-1.6044516605262549,0.4813568999698441,6
SLPUSDTM-WAVESUSDTM,-1.2360936797199735,0.6578796748041105,6
SLPUSDTM-LTCUSDTM,-1.622028702594168,0.4716658875571319,6
SLPUSDTM-CTSIUSDTM,-2.1190645464691062,0.23691806982717378,11
SLPUSDTM-LUNAUSDTM,-0.686907056606673,0.8501118197355266,6
SLPUSDTM-CROUSDTM,-1.592674467003808,0.4872723262764051,6
SLPUSDTM-TRXUSDTM,-1.3193838735465537,0.6202581730719484,7
SLPUSDTM-IOTXUSDTM,-2.4377637967531345,0.13136022814316606,11
SLPUSDTM-FILUSDTM,-1.489466849087499,0.538715354169784,6
SLPUSDTM-DGBUSDTM,-2.3258028319922466,0.16378102465564043,6
SLPUSDTM-ADAUSDTM,-1.8127066247728094,0.3741717044260731,18
SLPUSDTM-GALAUSDTM,-1.5542074454102068,0.5065458529580393,6
SLPUSDTM-ENSUSDTM,-2.203273184393977,0.20505962537747763,8
SLPUSDTM-AAVEUSDTM,-1.8588509749810536,0.351659460110276,7
SLPUSDTM-ATOMUSDTM,-0.7776154924629148,0.8256090868381027,6
SLPUSDTM-SUSHIUSDTM,-1.6149760636348833,0.4753641180945514,6
SLPUSDTM-SXPUSDTM,-1.9565457114984754,0.30594508112045427,6
SLPUSDTM-ROSEUSDTM,-2.4722711246131985,0.12236764221638258,7
SLPUSDTM-WAXPUSDTM,-1.7560378598514073,0.40249558039531713,6
SLPUSDTM-API3USDTM,-1.7795425713989126,0.39066448930617353,6
SLPUSDTM-BATUSDTM,-1.0782322981175592,0.7236740977196141,7
SLPUSDTM-RNDRUSDTM,-1.7578885407608136,0.4015600465964668,6
SLPUSDTM-DYDXUSDTM,-1.584191595086877,0.49152955958686867,6
SLPUSDTM-AXSUSDTM,-0.45165971203951244,0.9011096189066669,11
SLPUSDTM-BSVUSDTM,-1.6782901900019898,0.44233130041747526,11
SLPUSDTM-CRVUSDTM,-1.7227065416299392,0.419452984241372,6
SLPUSDTM-COMPUSDTM,-1.1053533120599077,0.7129323512891816,6
SLPUSDTM-XTZUSDTM,-1.6297683013657778,0.46761199594364583,6
SLPUSDTM-KNCUSDTM,-0.7573514920455435,0.8313299771484948,6
SLPUSDTM-HBARUSDTM,-1.3609597144480239,0.6008429152376404,6
SLPUSDTM-THETAUSDTM,-2.063775144741,0.259327962205254,6
SLPUSDTM-XMRUSDTM,-0.9298412574875331,0.7779865114031927,6
SLPUSDTM-OCEANUSDTM,-1.481292292330171,0.542744643920352,6
SLPUSDTM-DASHUSDTM,-1.4430699556210798,0.5614626812657982,6
SLPUSDTM-MIRUSDTM,-0.8716564454983273,0.7971630246315025,6
SLPUSDTM-CHRUSDTM,-2.5298085911937602,0.10838898607190467,14
SLPUSDTM-GRTUSDTM,-1.6577067266037038,0.4530243032688056,11
SLPUSDTM-LINKUSDTM,-1.806663505032464,0.3771585028077131,7
SLPUSDTM-DOGEUSDTM,-1.7573918856157336,0.401811044591501,10
SLPUSDTM-XLMUSDTM,-1.7310140404920618,0.4152080887043132,6
SLPUSDTM-NEOUSDTM,-1.9386160303368345,0.3141185487022475,6
SLPUSDTM-UNIUSDTM,-2.48032919655107,0.12033409516414562,7
SLPUSDTM-XEMUSDTM,-1.5232640501631407,0.5219731692921208,6
SLPUSDTM-ETCUSDTM,-1.0040375713569876,0.7517888426490492,8
SLPUSDTM-CELOUSDTM,-1.9624325716165545,0.30328402749748046,6
SLPUSDTM-SOSUSDTM,-2.7214430670390737,0.07040061480938963,6
SLPUSDTM-SANDUSDTM,-1.392980552870488,0.5856366648151512,6
SLPUSDTM-IOSTUSDTM,-1.877535333311597,0.3427018633154007,6
SLPUSDTM-KSMUSDTM,-1.8234169480258704,0.36889935469506435,6
SLPUSDTM-YFIUSDTM,-1.0358122940150898,0.7399795913966415,6
SLPUSDTM-ENJUSDTM,-2.48403087938935,0.11940828884123306,6
SLPUSDTM-NEARUSDTM,-2.525373179550393,0.10942217099996016,10
SLPUSDTM-MATICUSDTM,-1.5440085747017929,0.5116395841510955,6
SLPUSDTM-IMXUSDTM,-1.3867063917581344,0.588632388432651,12
SLPUSDTM-OMGUSDTM,-2.188383925812704,0.2104884022067527,5
SLPUSDTM-NFTUSDTM,-1.4752465308871048,0.5457190647174476,10
SLPUSDTM-C98USDTM,-1.852699135954005,0.35462934446328254,12
SLPUSDTM-SHIBUSDTM,-1.328167427295693,0.6161892065724379,8
SLPUSDTM-ALGOUSDTM,-2.5170665398271685,0.11137687886819664,6
SLPUSDTM-SOLUSDTM,-2.6361990756837543,0.08574403720876056,8
ONEUSDTM-ZECUSDTM,-2.3636027046475148,0.15227382272976747,8
ONEUSDTM-ETHUSDTM,-1.8455016182437856,0.358116656844232,5
ONEUSDTM-MANAUSDTM,-1.2496304823044841,0.6518901563208723,6
ONEUSDTM-1INCHUSDTM,-1.5818722055682122,0.4926929815063543,17
ONEUSDTM-ONTUSDTM,-1.75291251471835,0.4040769633983452,17
ONEUSDTM-XBTUSDTM,-1.1936714969767432,0.6763121320914148,5
ONEUSDTM-SRMUSDTM,-2.846416255054469,0.05194330895194332,4
ONEUSDTM-VETUSDTM,-3.2319997933162212,0.018205534784525162,8
ONEUSDTM-EGLDUSDTM,-2.5244512076789154,0.1096378557101142,7
ONEUSDTM-MKRUSDTM,-0.5865322850083834,0.8739962320340355,10
ONEUSDTM-BCHUSDTM,-1.7981235506276252,0.38139369580508176,5
ONEUSDTM-YGGUSDTM,-2.950742243557017,0.039757583361471734,8
ONEUSDTM-SNXUSDTM,-1.3518257432840035,0.6051413987603725,8
ONEUSDTM-LRCUSDTM,-0.8514163009114516,0.8035506485281472,12
ONEUSDTM-AGLDUSDTM,-1.2652929001670687,0.6448975602787402,11
ONEUSDTM-FLOWUSDTM,-2.598341925374882,0.09334044221316129,9
ONEUSDTM-EOSUSDTM,-2.079109268830717,0.2529974085747652,6
ONEUSDTM-RVNUSDTM,-2.9409121600405346,0.04079313661315687,11
ONEUSDTM-CHZUSDTM,-1.7956253220576823,0.3826357526315711,6
ONEUSDTM-QTUMUSDTM,-0.7088757613506933,0.8444371007526021,18
ONEUSDTM-ICPUSDTM,-3.120559379479607,0.025068643788337234,2
ONEUSDTM-ALICEUSDTM,-2.5418040341094206,0.10563135411657193,9
ONEUSDTM-LINAUSDTM,-2.5094371371083004,0.11319501988197284,6
ONEUSDTM-DOTUSDM,-2.230638640460743,0.19531387829091862,5
ONEUSDTM-WAVESUSDTM,-1.5511116323136247,0.5080928740859744,8
ONEUSDTM-LTCUSDTM,-2.762456016377642,0.06384000500205467,6
ONEUSDTM-CTSIUSDTM,-3.5212112217318023,0.0074587652597905,8
ONEUSDTM-LUNAUSDTM,-0.7091927522756308,0.8443540169089446,8
ONEUSDTM-CROUSDTM,-2.0726715843829453,0.25564450273812833,5
ONEUSDTM-TRXUSDTM,-1.6905207746639985,0.4360029578710592,8
ONEUSDTM-IOTXUSDTM,-1.8749978039789164,0.34391277850731194,8
ONEUSDTM-FILUSDTM,-2.5932527914184926,0.0943998122755656,4
ONEUSDTM-DGBUSDTM,-4.003239161978893,0.0013936447026400068,7
ONEUSDTM-ADAUSDTM,-0.08409734586781895,0.9509996430891418,8
ONEUSDTM-GALAUSDTM,-1.8857978350892621,0.3387714683760068,12
ONEUSDTM-ENSUSDTM,-2.2208784169095623,0.1987552440008422,8
ONEUSDTM-AAVEUSDTM,-1.692164124307263,0.4351542108376679,5
ONEUSDTM-ATOMUSDTM,-0.6583084330152765,0.8572551405907209,7
ONEUSDTM-SUSHIUSDTM,-1.7897640047759575,0.3855552922605517,11
ONEUSDTM-SXPUSDTM,-2.013581434513319,0.2806500463252857,12
ONEUSDTM-ROSEUSDTM,-2.6538771965323726,0.08236518038446389,5
ONEUSDTM-WAXPUSDTM,-2.2570929501172183,0.18617981279789003,3
ONEUSDTM-API3USDTM,-2.822038627117764,0.05519401256388329,6
ONEUSDTM-BATUSDTM,-1.03024778551322,0.7420729013990901,8
ONEUSDTM-RNDRUSDTM,-2.3321926779244944,0.16179526449456727,10
ONEUSDTM-DYDXUSDTM,-1.6009544148077461,0.4831140171628393,11
ONEUSDTM-AXSUSDTM,0.7612986211428442,0.9909850608848181,19
ONEUSDTM-BSVUSDTM,-2.257419667132615,0.1860687754370704,10
ONEUSDTM-CRVUSDTM,-1.43865453604935,0.5636108596731046,11
ONEUSDTM-COMPUSDTM,-0.865405476843787,0.7991513683826541,5
ONEUSDTM-XTZUSDTM,-2.7219052481686807,0.07032380225236999,13
ONEUSDTM-KNCUSDTM,-1.0724949484611888,0.725915062137427,8
ONEUSDTM-HBARUSDTM,-1.5645580549182736,0.501368537418676,7
ONEUSDTM-THETAUSDTM,-3.516969743624224,0.007561821851215408,7
ONEUSDTM-XMRUSDTM,-1.1181687420390347,0.7077723055002649,10
ONEUSDTM-OCEANUSDTM,-1.3997975045276456,0.5823731935470509,11
ONEUSDTM-DASHUSDTM,-1.1684126696622605,0.6870340995744442,18
ONEUSDTM-MIRUSDTM,-0.9204337842954998,0.7811688246549879,12
ONEUSDTM-CHRUSDTM,-2.1348356254817347,0.23073962171147555,5
ONEUSDTM-GRTUSDTM,-1.8471880899263537,0.357298326331273,7
ONEUSDTM-LINKUSDTM,-2.046567329817883,0.2665353192835835,5
ONEUSDTM-DOGEUSDTM,-2.2269473854557336,0.1966108652528174,12
ONEUSDTM-XLMUSDTM,-2.9091510872591635,0.044294152408442755,8
ONEUSDTM-NEOUSDTM,-2.081417032404529,0.25205225585135554,11
ONEUSDTM-UNIUSDTM,-1.9813413750384417,0.2948137001785213,8
ONEUSDTM-XEMUSDTM,-2.2933172167460656,0.17413236171399255,6
ONEUSDTM-ETCUSDTM,-0.30602112229325573,0.9246472214637466,12
ONEUSDTM-CELOUSDTM,-1.8115356256224855,0.3747498020121449,19
ONEUSDTM-SOSUSDTM,-2.3689431301612593,0.15069448953693804,6
ONEUSDTM-SANDUSDTM,-1.3315821406529127,0.6146024811593953,8
ONEUSDTM-IOSTUSDTM,-3.5137093902365075,0.00764190983611049,5
ONEUSDTM-KSMUSDTM,-1.6080830525490386,0.479531967707293,8
ONEUSDTM-YFIUSDTM,-1.2741174858691586,0.6409288589345785,5
ONEUSDTM-ENJUSDTM,-1.9327287391531023,0.31682452763647684,13
ONEUSDTM-NEARUSDTM,-2.8750194415143993,0.04833096743734591,8
ONEUSDTM-MATICUSDTM,-1.4991072997829342,0.5339528986307651,13
ONEUSDTM-IMXUSDTM,-0.9375783257878316,0.7753456523494766,16
ONEUSDTM-OMGUSDTM,-1.953037895593729,0.3075360686157941,6
ONEUSDTM-NFTUSDTM,-2.464353361792177,0.12439014885585797,8
ONEUSDTM-C98USDTM,-2.3265048982723404,0.16356203681224246,7
ONEUSDTM-SHIBUSDTM,-1.2725117168380602,0.6416525536970217,17
ONEUSDTM-ALGOUSDTM,-2.353455365560632,0.1553063199262299,5
ONEUSDTM-SOLUSDTM,-1.9722526767497255,0.2988702586120968,12
ZECUSDTM-ETHUSDTM,-1.6584334867516488,0.4526459089843907,6
ZECUSDTM-MANAUSDTM,-1.1229508225166576,0.7058331495439956,6
ZECUSDTM-1INCHUSDTM,-1.6791148960209181,0.44190395773286417,9
ZECUSDTM-ONTUSDTM,-1.519765825790057,0.5237117963302311,7
ZECUSDTM-XBTUSDTM,-0.9693648281963181,0.7642731811830494,6
ZECUSDTM-SRMUSDTM,-1.8894559321297715,0.33703751498789003,4
ZECUSDTM-VETUSDTM,-2.412545471716377,0.13822680461289133,7
ZECUSDTM-EGLDUSDTM,-2.4478530823326157,0.1286830260762502,7
ZECUSDTM-MKRUSDTM,-1.3658043556933195,0.5985557686333054,7
ZECUSDTM-BCHUSDTM,-2.1429144574422088,0.22761209644792857,7
ZECUSDTM-YGGUSDTM,-2.144946120610878,0.22682959635209837,7
ZECUSDTM-SNXUSDTM,-2.771546948986497,0.06245442923077403,8
ZECUSDTM-LRCUSDTM,-1.288784404147163,0.6342877143458604,12
ZECUSDTM-AGLDUSDTM,-1.8368862211582895,0.3623085046196953,10
ZECUSDTM-FLOWUSDTM,-2.2784533611189453,0.17901137825453017,4
ZECUSDTM-EOSUSDTM,-2.062835436570008,0.25971874640270387,7
ZECUSDTM-RVNUSDTM,-3.023527527742617,0.03275488002927664,6
ZECUSDTM-CHZUSDTM,-1.2923616699295584,0.6326595733232606,6
ZECUSDTM-QTUMUSDTM,-1.5651363498800628,0.5010790637967916,13
ZECUSDTM-ICPUSDTM,-2.1712396710449413,0.21684885994482195,3
ZECUSDTM-ALICEUSDTM,-2.39109451389364,0.14426570843378328,6
ZECUSDTM-LINAUSDTM,-2.8680121163367764,0.04919620632428149,6
ZECUSDTM-DOTUSDM,-1.5619986796925036,0.5026494052351517,5
ZECUSDTM-WAVESUSDTM,-1.6016499804449942,0.48276457797299616,8
ZECUSDTM-LTCUSDTM,-1.7448476792148808,0.4081661921220125,7
ZECUSDTM-CTSIUSDTM,-2.950378330699835,0.03979552390743029,7
ZECUSDTM-LUNAUSDTM,-0.6915430152067964,0.848927943249832,8
ZECUSDTM-CROUSDTM,-1.6107037351457694,0.47760621291742833,5
ZECUSDTM-TRXUSDTM,-1.0325702369034813,0.7412005159607633,6
ZECUSDTM-IOTXUSDTM,-2.3839943417050726,0.14630493876823036,9
ZECUSDTM-FILUSDTM,-1.5609437003646667,0.5031772542426988,7
ZECUSDTM-DGBUSDTM,-2.3274009818858823,0.16328282111816755,4
ZECUSDTM-ADAUSDTM,-1.2268463421010756,0.66194180932307,6
ZECUSDTM-GALAUSDTM,-1.773079990255938,0.3939062366242876,6
ZECUSDTM-ENSUSDTM,-3.427550079516303,0.010054786651292185,5
ZECUSDTM-AAVEUSDTM,-2.216223881686684,0.2004099047556679,12
ZECUSDTM-ATOMUSDTM,-0.6849643108646744,0.8506057753996601,7
ZECUSDTM-SUSHIUSDTM,-2.4430635137424956,0.12994898016058404,6
ZECUSDTM-SXPUSDTM,-3.146963081739924,0.023267343733968465,12
ZECUSDTM-ROSEUSDTM,-2.8211795544705907,0.055311527196878756,5
ZECUSDTM-WAXPUSDTM,-1.6463633771871762,0.4589377146645215,4
ZECUSDTM-API3USDTM,-2.1227262281727413,0.23547499904117153,7
ZECUSDTM-BATUSDTM,-1.1813416676157875,0.6815701198686545,9
ZECUSDTM-RNDRUSDTM,-2.6398067521165283,0.08504589737538698,7
ZECUSDTM-DYDXUSDTM,-2.3488168850041196,0.1567063276852283,7
ZECUSDTM-AXSUSDTM,0.1942171598385079,0.9719353805667207,13
ZECUSDTM-BSVUSDTM,-2.200540942349263,0.2060491845697081,5
ZECUSDTM-CRVUSDTM,-2.2293930231240093,0.19575093326197085,7
ZECUSDTM-COMPUSDTM,-1.3933371283906029,0.5854661816747103,7
ZECUSDTM-XTZUSDTM,-1.7733685990465793,0.3937612802422498,6
ZECUSDTM-KNCUSDTM,-1.2084404584619461,0.669954341377649,9
ZECUSDTM-HBARUSDTM,-1.3626369324729994,0.600051665500675,5
ZECUSDTM-THETAUSDTM,-1.7796873160115136,0.39059198285828023,7
ZECUSDTM-XMRUSDTM,-1.1750806678526429,0.6842224874865899,7
ZECUSDTM-OCEANUSDTM,-2.0499108910458452,0.26512642406523257,7
ZECUSDTM-DASHUSDTM,-1.5009457788147442,0.5330434238760418,5
ZECUSDTM-MIRUSDTM,-0.9191045187129214,0.7816159406355879,12
ZECUSDTM-CHRUSDTM,-2.6759373785642566,0.07829550999717216,10
ZECUSDTM-GRTUSDTM,-1.6896192262408496,0.4364687440746828,12
ZECUSDTM-LINKUSDTM,-2.0850921562286096,0.2505512177868511,7
ZECUSDTM-DOGEUSDTM,-1.8968300165155274,0.3335538374107755,9
ZECUSDTM-XLMUSDTM,-1.774055890298238,0.39341615115189466,6
ZECUSDTM-NEOUSDTM,-2.5943535667800006,0.0941698950460807,4
ZECUSDTM-UNIUSDTM,-2.491231802474427,0.1176223241087766,9
ZECUSDTM-XEMUSDTM,-1.7684604705770912,0.3962287544241753,4
ZECUSDTM-ETCUSDTM,-0.7341537017336817,0.8377035410450989,18
ZECUSDTM-CELOUSDTM,-2.1452482675020157,0.22671336162827527,8
ZECUSDTM-SOSUSDTM,-1.6371552640475706,0.4637476334919261,12
ZECUSDTM-SANDUSDTM,-1.4932340538103106,0.536855661056581,6
ZECUSDTM-IOSTUSDTM,-2.4837963382739243,0.11946679279547578,5
ZECUSDTM-KSMUSDTM,-2.891643397961653,0.046328422099743034,10
ZECUSDTM-YFIUSDTM,-0.979809876787423,0.7605567769877211,6
ZECUSDTM-ENJUSDTM,-1.9399710368393173,0.3134972845187037,6
ZECUSDTM-NEARUSDTM,-1.8173338968905135,0.37189048447134065,7
ZECUSDTM-MATICUSDTM,-1.44718610454213,0.5594573258957654,6
ZECUSDTM-IMXUSDTM,-1.878280483486509,0.34234661632098395,9
ZECUSDTM-OMGUSDTM,-3.938021181064337,0.0017721840546399642,5
ZECUSDTM-NFTUSDTM,-1.2791861107124558,0.6386400883895936,6
ZECUSDTM-C98USDTM,-3.25872646649157,0.01682726907661539,9
ZECUSDTM-SHIBUSDTM,-1.5829885265767492,0.49213306064917106,9
ZECUSDTM-ALGOUSDTM,-2.3403301072747693,0.1592903174540935,9
ZECUSDTM-SOLUSDTM,-2.13051171616281,0.23242395839662933,5
ETHUSDTM-MANAUSDTM,-1.7671110845173645,0.3969079926024525,10
ETHUSDTM-1INCHUSDTM,-1.8578181264556466,0.35215738066117147,8
ETHUSDTM-ONTUSDTM,-1.8522224247397037,0.3548599004483869,8
ETHUSDTM-XBTUSDTM,-1.0254362099888799,0.7438743587743385,18
ETHUSDTM-SRMUSDTM,-1.9345574469965794,0.3159828378719117,4
ETHUSDTM-VETUSDTM,-0.8415914402589786,0.8065986714859104,3
ETHUSDTM-EGLDUSDTM,-1.8322045466703114,0.36459426338981404,7
ETHUSDTM-MKRUSDTM,-1.0480767783284508,0.7353282708360086,9
ETHUSDTM-BCHUSDTM,-1.010559711023398,0.749393431007642,6
ETHUSDTM-YGGUSDTM,-2.58147343215211,0.09688710558265368,9
ETHUSDTM-SNXUSDTM,-1.2821665484646572,0.6372911368165501,8
ETHUSDTM-LRCUSDTM,-0.742284050590697,0.8354909806894656,12
ETHUSDTM-AGLDUSDTM,-1.1207859862051737,0.706711917855862,11
ETHUSDTM-FLOWUSDTM,-2.3052985695189245,0.17026477176602978,5
ETHUSDTM-EOSUSDTM,-0.738572519567244,0.8365038587844084,19
ETHUSDTM-RVNUSDTM,-1.8509551295259727,0.35547310327959314,11
ETHUSDTM-CHZUSDTM,-2.439909397176156,0.13078755699794176,6
ETHUSDTM-QTUMUSDTM,-0.04118595142399114,0.9549905861594258,18
ETHUSDTM-ICPUSDTM,-1.5764668863855527,0.4954032475538605,0
ETHUSDTM-ALICEUSDTM,-1.4339274791741619,0.5659071693370856,8
ETHUSDTM-LINAUSDTM,-2.0034265308444232,0.2850727088130882,5
ETHUSDTM-DOTUSDM,-1.6934646633454957,0.434482785679686,3
ETHUSDTM-WAVESUSDTM,-2.0044590328342675,0.2846213977155435,12
ETHUSDTM-LTCUSDTM,-1.7675002593641347,0.3967120566106844,11
ETHUSDTM-CTSIUSDTM,-2.25026183508558,0.18851132390722286,7
ETHUSDTM-LUNAUSDTM,-1.398611733378032,0.5829414897272337,11
ETHUSDTM-CROUSDTM,-1.8875177908103238,0.3379557271063843,4
ETHUSDTM-TRXUSDTM,-1.8212731858920668,0.36995245836474244,6
ETHUSDTM-IOTXUSDTM,-1.3583338320637937,0.6020805059367473,8
ETHUSDTM-FILUSDTM,-2.4629574446265874,0.12474923312117375,4
ETHUSDTM-DGBUSDTM,-1.9626572929162247,0.30318266975785835,3
ETHUSDTM-ADAUSDTM,0.42839201413470784,0.9825262081497947,8
ETHUSDTM-GALAUSDTM,-2.854274510784273,0.05092948869052387,9
ETHUSDTM-ENSUSDTM,-1.750294928183141,0.40540285882446164,8
ETHUSDTM-AAVEUSDTM,-1.2496611592396156,0.6518765254847162,11
ETHUSDTM-ATOMUSDTM,-0.828505925378158,0.8106049449782537,18
ETHUSDTM-SUSHIUSDTM,-1.675358638988783,0.4438510655369727,11
ETHUSDTM-SXPUSDTM,-1.6924530235370954,0.4350050411224048,4
ETHUSDTM-ROSEUSDTM,-1.1150247455191393,0.7090431702672249,6
ETHUSDTM-WAXPUSDTM,-2.1991756496313304,0.20654478452538133,3
ETHUSDTM-API3USDTM,-2.899838938373185,0.04536672995381737,6
ETHUSDTM-BATUSDTM,-1.7758035681215374,0.3925389803636411,13
ETHUSDTM-RNDRUSDTM,-2.2199815800129206,0.19907338616447273,8
ETHUSDTM-DYDXUSDTM,-2.7560512896381093,0.06483092053615377,5
ETHUSDTM-AXSUSDTM,1.1578300590764734,0.9956811772057474,19
ETHUSDTM-BSVUSDTM,-1.5952119640043798,0.4859982426736643,5
ETHUSDTM-CRVUSDTM,-1.8815426570135063,0.3407932183526019,8
ETHUSDTM-COMPUSDTM,-1.553076867474972,0.5071109013617616,3
ETHUSDTM-XTZUSDTM,-2.0483007448460158,0.26580439296503755,12
ETHUSDTM-KNCUSDTM,-1.475421433443905,0.5456330837285057,8
ETHUSDTM-HBARUSDTM,-2.2013433917653815,0.2057582444903217,6
ETHUSDTM-THETAUSDTM,-2.11306048647001,0.2392954477869833,5
ETHUSDTM-XMRUSDTM,-1.5141217425910707,0.5265143080260822,10
ETHUSDTM-OCEANUSDTM,-1.2547079152292648,0.6496305748381657,11
ETHUSDTM-DASHUSDTM,-0.6340423572817766,0.8631028465223678,18
ETHUSDTM-MIRUSDTM,-1.32494516740431,0.6176840175440695,12
ETHUSDTM-CHRUSDTM,-1.7655574690374995,0.3976904873741356,9
ETHUSDTM-GRTUSDTM,-2.2719377285438176,0.18117837563510536,11
ETHUSDTM-LINKUSDTM,-3.517298727493238,0.007553782769224899,6
ETHUSDTM-DOGEUSDTM,-2.2569320127580688,0.1862345245302247,19
ETHUSDTM-XLMUSDTM,-1.9185660939111144,0.3233780695775402,4
ETHUSDTM-NEOUSDTM,-1.2842255464453092,0.6363578920498814,11
ETHUSDTM-UNIUSDTM,0.2321386976334863,0.97400763229453,10
ETHUSDTM-XEMUSDTM,-2.2826280130940857,0.17763200753890107,4
ETHUSDTM-ETCUSDTM,0.01430746004944486,0.9596994300769295,12
ETHUSDTM-CELOUSDTM,-2.1738502219055755,0.21587281860575225,19
ETHUSDTM-SOSUSDTM,-1.7444524891108626,0.40836688189157405,8
ETHUSDTM-SANDUSDTM,-1.8977531476991025,0.3331188381241009,6
ETHUSDTM-IOSTUSDTM,-1.9345571600669778,0.31598296985370783,3
ETHUSDTM-KSMUSDTM,-1.1035351905078756,0.7136600548756635,6
ETHUSDTM-YFIUSDTM,-1.6128793702393898,0.4764642888441406,4
ETHUSDTM-ENJUSDTM,-1.1621290697871347,0.6896710957654947,6
ETHUSDTM-NEARUSDTM,-1.8127727628273742,0.3741390630761485,10
ETHUSDTM-MATICUSDTM,-2.0549805211804686,0.2629979775155207,8
ETHUSDTM-IMXUSDTM,-1.1608930482740751,0.6901883695481401,11
ETHUSDTM-OMGUSDTM,-1.2456087002685845,0.653674936811803,4
ETHUSDTM-NFTUSDTM,-2.286934527506306,0.17621647757985986,5
ETHUSDTM-C98USDTM,-2.175392890767733,0.21529731092363819,5
ETHUSDTM-SHIBUSDTM,-2.364598812556172,0.1519783724802763,9
ETHUSDTM-ALGOUSDTM,0.06623211777278351,0.9636785318925833,15
ETHUSDTM-SOLUSDTM,-1.0650653254576354,0.7288005575885411,10
MANAUSDTM-1INCHUSDTM,-1.8828522916910786,0.34017043083780674,9
MANAUSDTM-ONTUSDTM,-1.931032582492153,0.3176061388995561,14
MANAUSDTM-XBTUSDTM,-2.1017090946899195,0.24382792153267113,10
MANAUSDTM-SRMUSDTM,-2.1847137081155985,0.2118402032333464,3
MANAUSDTM-VETUSDTM,-0.8532314904515933,0.8029837499648877,6
MANAUSDTM-EGLDUSDTM,-1.9474620324819358,0.3100731716452022,7
MANAUSDTM-MKRUSDTM,-1.8141591026073807,0.37345509506170255,4
MANAUSDTM-BCHUSDTM,-1.1122501436147916,0.7101620473593082,6
MANAUSDTM-YGGUSDTM,-2.277550130738184,0.17931075025216991,6
MANAUSDTM-SNXUSDTM,-1.3137398782796341,0.6228630946721964,8
MANAUSDTM-LRCUSDTM,-0.6170920466683518,0.8670729655413578,12
MANAUSDTM-AGLDUSDTM,-1.1755679715186538,0.6840164781389727,11
MANAUSDTM-FLOWUSDTM,-1.3624965687140262,0.6001179068485729,4
MANAUSDTM-EOSUSDTM,-1.0076223100198365,0.7504740963182794,10
MANAUSDTM-RVNUSDTM,-1.0667522614151332,0.7281470242959218,10
MANAUSDTM-CHZUSDTM,-3.1453528363723753,0.023373904416421613,9
MANAUSDTM-QTUMUSDTM,-0.29520674916535733,0.9261804618493507,18
MANAUSDTM-ICPUSDTM,-1.547232434397888,0.5100303342075528,1
MANAUSDTM-ALICEUSDTM,-1.412315277241782,0.5763579869035145,4
MANAUSDTM-LINAUSDTM,-1.625343208350827,0.46992918928182764,6
MANAUSDTM-DOTUSDM,-1.5804964629888845,0.49338293491234625,12
MANAUSDTM-WAVESUSDTM,-2.0108469398836983,0.28183743957704543,13
MANAUSDTM-LTCUSDTM,-1.818602750556424,0.3712658357997535,11
MANAUSDTM-CTSIUSDTM,-1.9881823260191795,0.2917786552755042,7
MANAUSDTM-LUNAUSDTM,-0.9835483682747146,0.7592172648168674,10
MANAUSDTM-CROUSDTM,-2.9083418383360464,0.04438651902188539,4
MANAUSDTM-TRXUSDTM,-2.1999522247769243,0.2062627969606174,9
MANAUSDTM-IOTXUSDTM,-1.6486787267790857,0.45772959878719055,13
MANAUSDTM-FILUSDTM,-1.9581561673101018,0.3052159834385811,18
